Prediction,Probability,Actual
0,0.0040992615,0
0,0.047059,0
0,0.072735615,0
0,0.0671494,0
0,0.14244099,0
1,0.92448074,1
1,0.5253488,0
1,0.4540326,0
1,0.5253488,0
1,0.8876984,1
1,0.9349894,1
1,0.95540774,1
1,0.9515523,1
1,0.99962175,1
1,0.9986528,1
1,0.99921453,1
1,0.9974274,1
1,0.99222916,1
1,0.99358,1
1,0.82464,0
1,0.87160057,0
0,0.07090632,0
0,0.0018372971,0
0,0.026280925,0
0,0.04032641,0
0,0.005879488,0
0,0.0045434562,1
0,0.005879488,1
0,0.077455774,1
1,0.30267772,1
1,0.9084849,1
1,0.69005567,1
1,0.69005567,1
1,0.9261474,1
1,0.96183664,1
1,0.4540326,1
0,0.0022171366,1
0,0.0028493323,0
0,0.00080192275,0
0,0.0016311302,0
0,0.00037517902,0
0,0.00035375444,0
0,0.00024976538,0
0,0.00034551646,0
0,0.0005927382,1
0,0.00130907,1
0,0.0014495662,1
1,0.25032917,1
1,0.9487431,1
1,0.9025105,1
1,0.95657176,1
1,0.97756153,1
1,0.7048828,1
1,0.9403525,1
0,0.02130056,1
0,0.0014293146,1
0,0.0011016715,1
0,0.0009835458,1
0,0.0026187145,0
0,0.010379146,0
0,0.011331113,0
0,0.01291477,0
0,0.00122667,0
0,0.00122667,1
0,0.0021184948,1
0,0.017063918,1
0,0.0013093874,1
0,0.0011404678,1
0,0.0324866,0
0,0.18149334,0
0,0.10053106,0
0,0.16460569,0
0,0.008172404,0
0,0.001545284,0
0,0.00076863787,0
0,0.010379146,0
0,0.0011274102,0
0,0.00089532003,0
